RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/433 VDD_4V0_WIFI 0/0 VDD_IN 1801/1861 VDD_SYS_CPU 153/219 VDD_SYS_DDR 401/420
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/431 VDD_4V0_WIFI 0/0 VDD_IN 1763/1857 VDD_SYS_CPU 153/217 VDD_SYS_DDR 401/420
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/429 VDD_4V0_WIFI 0/0 VDD_IN 1763/1853 VDD_SYS_CPU 153/214 VDD_SYS_DDR 382/418
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/427 VDD_4V0_WIFI 0/0 VDD_IN 1763/1849 VDD_SYS_CPU 153/212 VDD_SYS_DDR 382/417
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/425 VDD_4V0_WIFI 0/0 VDD_IN 1763/1846 VDD_SYS_CPU 153/209 VDD_SYS_DDR 382/415
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C MCPU@30C PMIC@100C Tboard@27C GPU@29.5C BCPU@30C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/427 VDD_4V0_WIFI 0/0 VDD_IN 1801/1845 VDD_SYS_CPU 153/207 VDD_SYS_DDR 401/415
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C MCPU@30C PMIC@100C Tboard@27C GPU@29.5C BCPU@30C thermal@29.8C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/428 VDD_4V0_WIFI 0/0 VDD_IN 1763/1842 VDD_SYS_CPU 153/205 VDD_SYS_DDR 401/414
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@29.8C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/426 VDD_4V0_WIFI 0/0 VDD_IN 1763/1839 VDD_SYS_CPU 153/204 VDD_SYS_DDR 401/414
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C MCPU@30C PMIC@100C Tboard@27C GPU@29C BCPU@30C thermal@29.8C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/425 VDD_4V0_WIFI 0/0 VDD_IN 1763/1837 VDD_SYS_CPU 153/202 VDD_SYS_DDR 401/413
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.8C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/423 VDD_4V0_WIFI 0/0 VDD_IN 1763/1834 VDD_SYS_CPU 153/201 VDD_SYS_DDR 401/413
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C MCPU@30C PMIC@100C Tboard@27C GPU@29C BCPU@30C thermal@29.8C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/422 VDD_4V0_WIFI 0/0 VDD_IN 1763/1832 VDD_SYS_CPU 153/199 VDD_SYS_DDR 401/413
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.8C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/421 VDD_4V0_WIFI 0/0 VDD_IN 1763/1830 VDD_SYS_CPU 153/198 VDD_SYS_DDR 401/412
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [20%@1574,off,off,0%@1574,57%@1574,33%@1574] EMC_FREQ 0% GR3D_FREQ 99% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.8C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/422 VDD_4V0_WIFI 0/0 VDD_IN 1916/1833 VDD_SYS_CPU 229/199 VDD_SYS_DDR 458/414
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [20%@652,off,off,33%@652,0%@652,0%@652] EMC_FREQ 0% GR3D_FREQ 13% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.8C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/423 VDD_4V0_WIFI 0/0 VDD_IN 2070/1839 VDD_SYS_CPU 229/199 VDD_SYS_DDR 515/416
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@29.8C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/424 VDD_4V0_WIFI 0/0 VDD_IN 2070/1845 VDD_SYS_CPU 229/200 VDD_SYS_DDR 534/420
