RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.5C VDD_SYS_GPU 153/162 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2529/2577 VDD_SYS_CPU 229/219 VDD_SYS_DDR 821/829
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.5C VDD_SYS_GPU 153/162 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2529/2575 VDD_SYS_CPU 229/219 VDD_SYS_DDR 821/828
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.5C VDD_SYS_GPU 153/162 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2529/2573 VDD_SYS_CPU 229/219 VDD_SYS_DDR 821/828
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32C BCPU@33.5C thermal@33.1C Tdiode@31.5C VDD_SYS_GPU 153/161 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2529/2571 VDD_SYS_CPU 229/220 VDD_SYS_DDR 821/828
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.5C VDD_SYS_GPU 153/161 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2529/2569 VDD_SYS_CPU 153/217 VDD_SYS_DDR 821/828
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.5C VDD_SYS_GPU 153/161 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2529/2568 VDD_SYS_CPU 153/215 VDD_SYS_DDR 821/827
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.5C VDD_SYS_GPU 153/160 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2529/2567 VDD_SYS_CPU 153/213 VDD_SYS_DDR 821/827
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.5C VDD_SYS_GPU 153/160 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2529/2565 VDD_SYS_CPU 153/211 VDD_SYS_DDR 821/827
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.5C VDD_SYS_GPU 153/160 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2529/2564 VDD_SYS_CPU 153/209 VDD_SYS_DDR 821/827
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.5C VDD_SYS_GPU 153/160 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2529/2563 VDD_SYS_CPU 153/207 VDD_SYS_DDR 821/826
