RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/426 VDD_4V0_WIFI 19/90 VDD_IN 1801/2049 VDD_SYS_CPU 230/269 VDD_SYS_DDR 401/437
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/424 VDD_4V0_WIFI 19/87 VDD_IN 1801/2039 VDD_SYS_CPU 230/267 VDD_SYS_DDR 382/435
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C MCPU@30C PMIC@100C Tboard@27C GPU@29C BCPU@30C thermal@29.9C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/423 VDD_4V0_WIFI 19/84 VDD_IN 1801/2029 VDD_SYS_CPU 230/266 VDD_SYS_DDR 382/432
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/421 VDD_4V0_WIFI 0/81 VDD_IN 1763/2019 VDD_SYS_CPU 153/262 VDD_SYS_DDR 382/431
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/420 VDD_4V0_WIFI 0/78 VDD_IN 1763/2009 VDD_SYS_CPU 153/258 VDD_SYS_DDR 382/429
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [42%@652,off,off,0%@652,0%@652,0%@652] EMC_FREQ 0% GR3D_FREQ 6% PLL@30C MCPU@30C PMIC@100C Tboard@27C GPU@29C BCPU@30C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/418 VDD_4V0_WIFI 0/75 VDD_IN 1763/2000 VDD_SYS_CPU 153/254 VDD_SYS_DDR 382/427
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C MCPU@30C PMIC@100C Tboard@27C GPU@29.5C BCPU@30C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/417 VDD_4V0_WIFI 0/72 VDD_IN 1763/1992 VDD_SYS_CPU 153/250 VDD_SYS_DDR 382/425
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/416 VDD_4V0_WIFI 0/70 VDD_IN 1763/1985 VDD_SYS_CPU 153/247 VDD_SYS_DDR 382/424
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/415 VDD_4V0_WIFI 0/68 VDD_IN 1763/1977 VDD_SYS_CPU 153/244 VDD_SYS_DDR 382/423
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/414 VDD_4V0_WIFI 0/66 VDD_IN 1763/1971 VDD_SYS_CPU 153/241 VDD_SYS_DDR 382/421
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C MCPU@30C PMIC@100C Tboard@27C GPU@29C BCPU@30C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/413 VDD_4V0_WIFI 0/64 VDD_IN 1763/1964 VDD_SYS_CPU 153/238 VDD_SYS_DDR 382/420
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/412 VDD_4V0_WIFI 0/62 VDD_IN 1763/1958 VDD_SYS_CPU 153/236 VDD_SYS_DDR 382/419
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [40%@652,off,off,16%@652,50%@652,60%@652] EMC_FREQ 0% GR3D_FREQ 63% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/411 VDD_4V0_WIFI 0/60 VDD_IN 1840/1955 VDD_SYS_CPU 230/236 VDD_SYS_DDR 420/419
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/412 VDD_4V0_WIFI 0/58 VDD_IN 1840/1952 VDD_SYS_CPU 230/236 VDD_SYS_DDR 420/419
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/412 VDD_4V0_WIFI 0/57 VDD_IN 1840/1949 VDD_SYS_CPU 230/235 VDD_SYS_DDR 420/419
RAM 1423/7852MB (lfb 1354x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@1113,off,off,20%@1113,25%@1113,0%@1113] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/411 VDD_4V0_WIFI 0/55 VDD_IN 1840/1946 VDD_SYS_CPU 230/235 VDD_SYS_DDR 420/419
RAM 1431/7852MB (lfb 1352x4MB) SWAP 0/3926MB (cached 0MB) CPU [20%@2035,off,off,100%@2035,100%@2035,0%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/412 VDD_4V0_WIFI 0/54 VDD_IN 2070/1949 VDD_SYS_CPU 306/237 VDD_SYS_DDR 496/421
RAM 1427/7852MB (lfb 1352x4MB) SWAP 0/3926MB (cached 0MB) CPU [14%@2035,off,off,60%@2035,100%@2035,0%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@29C BCPU@31C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/413 VDD_4V0_WIFI 0/52 VDD_IN 2260/1957 VDD_SYS_CPU 383/241 VDD_SYS_DDR 573/425
