RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [33%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 153/175 VDD_SYS_SOC 613/622 VDD_4V0_WIFI 267/81 VDD_IN 2835/2664 VDD_SYS_CPU 153/203 VDD_SYS_DDR 821/826
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 153/174 VDD_SYS_SOC 613/622 VDD_4V0_WIFI 286/89 VDD_IN 2874/2672 VDD_SYS_CPU 153/201 VDD_SYS_DDR 821/826
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@30.5C BCPU@32C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 153/173 VDD_SYS_SOC 613/621 VDD_4V0_WIFI 286/97 VDD_IN 2874/2680 VDD_SYS_CPU 153/199 VDD_SYS_DDR 821/826
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 153/172 VDD_SYS_SOC 613/621 VDD_4V0_WIFI 305/105 VDD_IN 2874/2687 VDD_SYS_CPU 153/198 VDD_SYS_DDR 821/825
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,14%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 153/172 VDD_SYS_SOC 613/621 VDD_4V0_WIFI 305/112 VDD_IN 2874/2694 VDD_SYS_CPU 153/196 VDD_SYS_DDR 821/825
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 153/171 VDD_SYS_SOC 613/620 VDD_4V0_WIFI 305/118 VDD_IN 2874/2700 VDD_SYS_CPU 153/194 VDD_SYS_DDR 821/825
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@28C GPU@30.5C BCPU@32.5C thermal@31.6C Tdiode@30C VDD_SYS_GPU 153/170 VDD_SYS_SOC 613/620 VDD_4V0_WIFI 324/125 VDD_IN 2912/2707 VDD_SYS_CPU 153/193 VDD_SYS_DDR 821/825
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 153/170 VDD_SYS_SOC 613/620 VDD_4V0_WIFI 324/132 VDD_IN 2912/2714 VDD_SYS_CPU 153/192 VDD_SYS_DDR 821/825
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@30.5C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 153/169 VDD_SYS_SOC 613/620 VDD_4V0_WIFI 343/138 VDD_IN 2912/2720 VDD_SYS_CPU 153/191 VDD_SYS_DDR 821/825
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 153/169 VDD_SYS_SOC 613/620 VDD_4V0_WIFI 343/144 VDD_IN 2912/2726 VDD_SYS_CPU 153/189 VDD_SYS_DDR 821/825
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,16%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 153/168 VDD_SYS_SOC 613/619 VDD_4V0_WIFI 343/150 VDD_IN 2912/2731 VDD_SYS_CPU 153/188 VDD_SYS_DDR 821/824
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [33%@345,off,off,14%@345,16%@345,33%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31.5C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 459/176 VDD_SYS_SOC 689/621 VDD_4V0_WIFI 343/156 VDD_IN 3257/2746 VDD_SYS_CPU 229/189 VDD_SYS_DDR 840/825
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@32C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 689/191 VDD_SYS_SOC 689/623 VDD_4V0_WIFI 362/162 VDD_IN 3525/2768 VDD_SYS_CPU 229/191 VDD_SYS_DDR 840/825
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@32C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 842/208 VDD_SYS_SOC 689/625 VDD_4V0_WIFI 362/167 VDD_IN 3640/2791 VDD_SYS_CPU 229/192 VDD_SYS_DDR 840/826
