RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/840 CPU 621/711 SOC 2174/1974 CV 0/0 VDDRQ 310/213 SYS5V 2210/2076
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@46C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/844 CPU 621/708 SOC 2174/1982 CV 0/0 VDDRQ 310/217 SYS5V 2210/2081
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/847 CPU 621/704 SOC 2174/1989 CV 0/0 VDDRQ 310/220 SYS5V 2250/2087
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@46C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/850 CPU 621/701 SOC 2174/1996 CV 0/0 VDDRQ 310/223 SYS5V 2250/2093
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/853 CPU 621/698 SOC 2174/2002 CV 0/0 VDDRQ 310/226 SYS5V 2250/2099
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/856 CPU 621/696 SOC 2329/2013 CV 0/0 VDDRQ 155/224 SYS5V 2250/2104
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@46C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/858 CPU 621/693 SOC 2329/2024 CV 0/0 VDDRQ 310/227 SYS5V 2250/2109
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46C CPU@48C thermal@47.25C Tboard@47C GPU 931/861 CPU 621/691 SOC 2329/2034 CV 0/0 VDDRQ 310/230 SYS5V 2250/2114
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48.5C thermal@47.25C Tboard@47C GPU 931/863 CPU 621/689 SOC 2329/2043 CV 0/0 VDDRQ 310/232 SYS5V 2250/2118
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/865 CPU 621/686 SOC 2329/2052 CV 0/0 VDDRQ 310/234 SYS5V 2250/2122
