RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,28%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 80% AO@44C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 466/314 CPU 622/1442 SOC 933/1336 CV 0/0 VDDRQ 155/225 SYS5V 1688/1890
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,28%@1190,16%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 73% AO@44C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 466/318 CPU 777/1424 SOC 933/1324 CV 0/0 VDDRQ 155/223 SYS5V 1688/1885
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 466/322 CPU 622/1402 SOC 933/1314 CV 0/0 VDDRQ 155/222 SYS5V 1688/1879
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 466/326 CPU 622/1381 SOC 933/1304 CV 0/0 VDDRQ 155/220 SYS5V 1728/1875
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46.5C thermal@45.25C Tboard@46C GPU 466/330 CPU 622/1362 SOC 933/1294 CV 0/0 VDDRQ 155/218 SYS5V 1728/1872
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 466/333 CPU 622/1343 SOC 933/1285 CV 0/0 VDDRQ 155/217 SYS5V 1728/1868
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 466/336 CPU 622/1326 SOC 933/1277 CV 0/0 VDDRQ 155/215 SYS5V 1728/1865
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 466/339 CPU 622/1309 SOC 933/1268 CV 0/0 VDDRQ 155/214 SYS5V 1728/1861
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/339 CPU 622/1293 SOC 933/1261 CV 0/0 VDDRQ 155/212 SYS5V 1768/1859
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/338 CPU 622/1278 SOC 933/1253 CV 0/0 VDDRQ 155/211 SYS5V 1768/1857
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/337 CPU 622/1263 SOC 933/1246 CV 0/0 VDDRQ 155/210 SYS5V 1768/1855
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/337 CPU 622/1249 SOC 933/1239 CV 0/0 VDDRQ 155/208 SYS5V 1768/1853
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/336 CPU 622/1236 SOC 933/1233 CV 0/0 VDDRQ 155/207 SYS5V 1768/1851
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/336 CPU 622/1223 SOC 933/1226 CV 0/0 VDDRQ 155/206 SYS5V 1768/1850
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/335 CPU 622/1211 SOC 933/1220 CV 0/0 VDDRQ 155/205 SYS5V 1768/1848
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/335 CPU 622/1199 SOC 933/1215 CV 0/0 VDDRQ 155/204 SYS5V 1768/1846
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/334 CPU 622/1188 SOC 933/1209 CV 0/0 VDDRQ 155/203 SYS5V 1768/1845
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/334 CPU 622/1177 SOC 933/1204 CV 0/0 VDDRQ 155/202 SYS5V 1768/1843
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/333 CPU 622/1166 SOC 933/1199 CV 0/0 VDDRQ 155/201 SYS5V 1768/1842
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@46C thermal@45.25C Tboard@46C GPU 311/333 CPU 622/1156 SOC 933/1194 CV 0/0 VDDRQ 155/200 SYS5V 1768/1841
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/333 CPU 622/1147 SOC 933/1189 CV 0/0 VDDRQ 155/200 SYS5V 1768/1839
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/332 CPU 622/1137 SOC 1088/1187 CV 0/0 VDDRQ 155/199 SYS5V 1768/1838
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/332 CPU 622/1128 SOC 1088/1185 CV 0/0 VDDRQ 155/198 SYS5V 1808/1837
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/331 CPU 622/1119 SOC 933/1181 CV 0/0 VDDRQ 155/197 SYS5V 1808/1837
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/331 CPU 622/1111 SOC 1088/1179 CV 0/0 VDDRQ 155/197 SYS5V 1808/1836
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/331 CPU 622/1103 SOC 1088/1178 CV 0/0 VDDRQ 155/196 SYS5V 1808/1836
