RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@44.95C Tboard@45C GPU 466/347 CPU 622/611 SOC 933/824 CV 0/0 VDDRQ 155/155 SYS5V 1728/1658
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@44.95C Tboard@45C GPU 466/349 CPU 622/611 SOC 933/826 CV 0/0 VDDRQ 155/155 SYS5V 1768/1660
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@44.95C Tboard@45C GPU 466/352 CPU 622/611 SOC 933/829 CV 0/0 VDDRQ 155/155 SYS5V 1768/1663
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@44.95C Tboard@45C GPU 466/354 CPU 622/611 SOC 1088/834 CV 0/0 VDDRQ 155/155 SYS5V 1848/1667
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@44.95C Tboard@45C GPU 466/357 CPU 622/612 SOC 1088/840 CV 0/0 VDDRQ 155/155 SYS5V 1848/1671
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@44.95C Tboard@45C GPU 466/359 CPU 622/612 SOC 1088/845 CV 0/0 VDDRQ 155/155 SYS5V 1848/1674
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@44.95C Tboard@45C GPU 466/361 CPU 622/612 SOC 1088/850 CV 0/0 VDDRQ 155/155 SYS5V 1808/1677
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@44.95C Tboard@45C GPU 466/363 CPU 622/612 SOC 1088/854 CV 0/0 VDDRQ 155/155 SYS5V 1808/1680
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44C CPU@45.5C thermal@44.95C Tboard@45C GPU 466/365 CPU 622/612 SOC 1088/859 CV 0/0 VDDRQ 155/155 SYS5V 1808/1682
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@44.95C Tboard@45C GPU 466/367 CPU 622/613 SOC 1088/863 CV 0/0 VDDRQ 155/155 SYS5V 1808/1685
