RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/644 SOC 777/875 CV 0/0 VDDRQ 155/155 SYS5V 1647/1671
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/644 SOC 777/871 CV 0/0 VDDRQ 155/155 SYS5V 1647/1670
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.25C Tboard@45C GPU 311/311 CPU 466/638 SOC 777/868 CV 0/0 VDDRQ 155/155 SYS5V 1647/1669
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/637 SOC 777/865 CV 0/0 VDDRQ 155/155 SYS5V 1647/1668
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 466/631 SOC 777/862 CV 0/0 VDDRQ 155/155 SYS5V 1647/1668
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 466/626 SOC 777/859 CV 0/0 VDDRQ 155/155 SYS5V 1647/1667
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/626 SOC 777/857 CV 0/0 VDDRQ 155/155 SYS5V 1647/1666
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 466/315 CPU 622/626 SOC 777/855 CV 0/0 VDDRQ 155/155 SYS5V 1647/1666
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/315 CPU 622/626 SOC 777/852 CV 0/0 VDDRQ 155/155 SYS5V 1647/1665
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.25C Tboard@45C GPU 311/315 CPU 622/626 SOC 777/850 CV 0/0 VDDRQ 155/155 SYS5V 1647/1665
