RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.75C Tboard@46C GPU 931/950 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 155/264 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@46C CPU@47.5C thermal@46.75C Tboard@46C GPU 931/949 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 155/260 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47C thermal@46.75C Tboard@46C GPU 931/949 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/262 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47C thermal@46.75C Tboard@46C GPU 931/948 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 155/258 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.75C Tboard@46C GPU 931/947 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/260 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 931/947 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 155/256 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 931/946 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/258 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 931/946 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/260 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 931/945 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/261 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 931/945 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/263 SYS5V 2250/2250
