RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1497,0%@1497,28%@1497,0%@1497,0%@1497,0%@1497,14%@1497,16%@1497] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 776/686 SOC 932/932 CV 0/0 VDDRQ 155/201 SYS5V 1889/1866
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,28%@1190,16%@1190,0%@1190,33%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 7% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@41C thermal@39.95C Tboard@40C GPU 310/310 CPU 776/689 SOC 932/932 CV 0/0 VDDRQ 155/200 SYS5V 1889/1867
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1881,0%@1881,0%@1881,0%@1881,0%@1881,0%@1881,16%@1881,0%@1881] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@41C thermal@39.95C Tboard@40C GPU 310/310 CPU 776/691 SOC 932/932 CV 0/0 VDDRQ 155/199 SYS5V 1889/1867
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.9C Tboard@40C GPU 310/310 CPU 776/694 SOC 932/932 CV 0/0 VDDRQ 155/198 SYS5V 1889/1868
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1574,0%@1574,0%@1574,0%@1574,0%@1574,0%@1574,0%@1574,0%@1574] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.9C Tboard@40C GPU 310/310 CPU 776/696 SOC 932/932 CV 0/0 VDDRQ 155/196 SYS5V 1889/1869
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1497,16%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.9C Tboard@40C GPU 310/310 CPU 621/694 SOC 932/932 CV 0/0 VDDRQ 155/195 SYS5V 1889/1869
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.9C Tboard@40C GPU 310/310 CPU 621/692 SOC 932/932 CV 0/0 VDDRQ 155/194 SYS5V 1848/1869
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1574,0%@1574,0%@1574,14%@1574,0%@1574,0%@1574,16%@1574,33%@1574] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@41C thermal@39.9C Tboard@40C GPU 310/310 CPU 776/694 SOC 932/932 CV 0/0 VDDRQ 155/193 SYS5V 1889/1869
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.9C Tboard@40C GPU 310/310 CPU 776/696 SOC 932/932 CV 0/0 VDDRQ 155/192 SYS5V 1889/1870
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 18% AO@38.5C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.9C Tboard@40C GPU 310/310 CPU 776/698 SOC 932/932 CV 0/0 VDDRQ 155/191 SYS5V 1889/1870
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.9C Tboard@40C GPU 310/310 CPU 776/700 SOC 932/932 CV 0/0 VDDRQ 155/191 SYS5V 1889/1870
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.9C Tboard@40C GPU 310/310 CPU 776/702 SOC 932/932 CV 0/0 VDDRQ 155/190 SYS5V 1848/1870
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1804,0%@1804,0%@1804,0%@1804,0%@1804,0%@1804,0%@1804,0%@1804] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.9C Tboard@40C GPU 310/310 CPU 621/700 SOC 932/932 CV 0/0 VDDRQ 155/189 SYS5V 1848/1869
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40.5C Tdiode@41.5C PMIC@100C AUX@39C CPU@41C thermal@39.9C Tboard@40C GPU 310/310 CPU 621/698 SOC 932/932 CV 0/0 VDDRQ 155/188 SYS5V 1848/1869
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.9C Tboard@40C GPU 310/310 CPU 621/696 SOC 932/932 CV 0/0 VDDRQ 155/187 SYS5V 1848/1868
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1497,0%@1497,0%@1497,0%@1497,14%@1497,14%@1497,14%@1497,16%@1497] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.9C Tboard@40C GPU 310/310 CPU 621/695 SOC 932/932 CV 0/0 VDDRQ 155/187 SYS5V 1848/1868
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@41C thermal@39.9C Tboard@40C GPU 310/310 CPU 621/693 SOC 932/932 CV 0/0 VDDRQ 155/186 SYS5V 1848/1868
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,12%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 12% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@41C thermal@39.9C Tboard@40C GPU 310/310 CPU 776/695 SOC 932/932 CV 0/0 VDDRQ 155/186 SYS5V 1889/1868
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.9C Tboard@40C GPU 310/310 CPU 776/696 SOC 932/932 CV 0/0 VDDRQ 155/185 SYS5V 1889/1868
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.9C Tboard@40C GPU 310/310 CPU 776/698 SOC 932/932 CV 0/0 VDDRQ 155/184 SYS5V 1889/1869
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.9C Tboard@40C GPU 310/310 CPU 621/697 SOC 932/932 CV 0/0 VDDRQ 155/184 SYS5V 1848/1868
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/695 SOC 932/932 CV 0/0 VDDRQ 155/183 SYS5V 1848/1868
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/694 SOC 932/932 CV 0/0 VDDRQ 155/183 SYS5V 1848/1868
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1344,14%@1344,0%@1344,0%@1344,0%@1344,0%@1344,16%@1344,33%@1344] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/692 SOC 932/932 CV 0/0 VDDRQ 155/182 SYS5V 1889/1868
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@41C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/694 SOC 932/932 CV 0/0 VDDRQ 155/182 SYS5V 1889/1868
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@1344,14%@1344,20%@1344,0%@1344] EMC_FREQ 0% GR3D_FREQ 16% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/695 SOC 932/932 CV 0/0 VDDRQ 155/181 SYS5V 1889/1869
