RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41.5C GPU@44.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.55C Tboard@43C GPU 2482/1017 CPU 620/633 SOC 2327/2327 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41.5C GPU@45C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.55C Tboard@43C GPU 2946/1069 CPU 620/633 SOC 2326/2327 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,28%@1190,0%@1190,0%@1190,0%@1190,0%@1190,25%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@44.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44.5C thermal@43.55C Tboard@43C GPU 3256/1126 CPU 620/633 SOC 2326/2327 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41.5C GPU@45C Tdiode@45C PMIC@100C AUX@42.5C CPU@44C thermal@43.55C Tboard@43C GPU 3566/1189 CPU 620/632 SOC 2326/2327 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@41.5C GPU@45C Tdiode@45C PMIC@100C AUX@42.5C CPU@44.5C thermal@43.55C Tboard@43C GPU 3720/1252 CPU 620/632 SOC 2326/2327 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45C PMIC@100C AUX@42.5C CPU@44.5C thermal@43.55C Tboard@43C GPU 4030/1320 CPU 620/632 SOC 2325/2327 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45C PMIC@100C AUX@42.5C CPU@44C thermal@43.55C Tboard@43C GPU 4185/1388 CPU 620/631 SOC 2325/2327 CV 0/0 VDDRQ 309/309 SYS5V 2451/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45C PMIC@100C AUX@42.5C CPU@44.5C thermal@43.55C Tboard@43C GPU 4495/1460 CPU 620/631 SOC 2325/2327 CV 0/0 VDDRQ 309/309 SYS5V 2451/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45.25C PMIC@100C AUX@42.5C CPU@44C thermal@43.55C Tboard@43C GPU 4648/1533 CPU 620/631 SOC 2325/2327 CV 0/0 VDDRQ 309/309 SYS5V 2451/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41.5C GPU@45C Tdiode@45.25C PMIC@100C AUX@42.5C CPU@44C thermal@43.55C Tboard@43C GPU 4803/1605 CPU 620/631 SOC 2325/2327 CV 0/0 VDDRQ 309/309 SYS5V 2451/2451
