RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 19/91 VDD_IN 2530/2680 VDD_SYS_CPU 229/252 VDD_SYS_DDR 706/712
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/87 VDD_IN 2530/2674 VDD_SYS_CPU 229/251 VDD_SYS_DDR 706/712
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/83 VDD_IN 2530/2668 VDD_SYS_CPU 229/250 VDD_SYS_DDR 706/712
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/80 VDD_IN 2530/2663 VDD_SYS_CPU 229/249 VDD_SYS_DDR 706/711
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/77 VDD_IN 2530/2658 VDD_SYS_CPU 229/248 VDD_SYS_DDR 706/711
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/74 VDD_IN 2530/2654 VDD_SYS_CPU 229/248 VDD_SYS_DDR 706/711
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [37%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/72 VDD_IN 2530/2649 VDD_SYS_CPU 229/247 VDD_SYS_DDR 706/711
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/69 VDD_IN 2530/2645 VDD_SYS_CPU 229/246 VDD_SYS_DDR 706/711
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@499,off,off,14%@499,0%@499,0%@499] EMC_FREQ 0%@1600 GR3D_FREQ 99%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@37C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 383/160 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/67 VDD_IN 2720/2648 VDD_SYS_CPU 229/246 VDD_SYS_DDR 706/710
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 99%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@37.5C BCPU@37.5C thermal@37.1C Tdiode@36.5C VDD_SYS_GPU 689/176 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/65 VDD_IN 3065/2661 VDD_SYS_CPU 229/245 VDD_SYS_DDR 706/710
