RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/814 CPU 621/698 SOC 2174/1941 CV 0/0 VDDRQ 155/161 SYS5V 2210/2066
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/819 CPU 621/695 SOC 2174/1950 CV 0/0 VDDRQ 310/167 SYS5V 2210/2071
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/823 CPU 621/692 SOC 2174/1959 CV 0/0 VDDRQ 155/166 SYS5V 2210/2077
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/827 CPU 465/684 SOC 2174/1967 CV 0/0 VDDRQ 155/166 SYS5V 2210/2082
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/831 CPU 465/676 SOC 2174/1974 CV 0/0 VDDRQ 155/166 SYS5V 2210/2086
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/834 CPU 465/669 SOC 2174/1981 CV 0/0 VDDRQ 155/165 SYS5V 2210/2090
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42.5C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/838 CPU 465/662 SOC 2174/1988 CV 0/0 VDDRQ 310/170 SYS5V 2210/2094
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/841 CPU 465/656 SOC 2174/1994 CV 0/0 VDDRQ 155/170 SYS5V 2210/2098
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/843 CPU 465/650 SOC 2174/1999 CV 0/0 VDDRQ 155/169 SYS5V 2250/2103
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@45C thermal@43.9C Tboard@44C GPU 931/846 CPU 465/644 SOC 2174/2004 CV 0/0 VDDRQ 155/169 SYS5V 2250/2107
