RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@44.5C Tdiode@46.25C PMIC@100C AUX@44C CPU@45.5C thermal@44.95C Tboard@45C GPU 310/310 CPU 777/766 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1879
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.25C PMIC@100C AUX@44C CPU@45.5C thermal@44.95C Tboard@45C GPU 310/310 CPU 621/761 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1878
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.25C PMIC@100C AUX@44C CPU@45.5C thermal@44.95C Tboard@45C GPU 310/310 CPU 621/756 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1877
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1728,0%@1728,0%@1728,14%@1728,16%@1728,0%@1728] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44C CPU@46C thermal@44.95C Tboard@45C GPU 310/310 CPU 621/752 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1876
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [83%@2265,14%@2265,50%@2265,16%@2265,83%@2265,83%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@46.5C thermal@44.95C Tboard@45C GPU 310/310 CPU 1398/772 SOC 1087/936 CV 0/0 VDDRQ 155/155 SYS5V 1929/1877
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 13% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@48C thermal@44.95C Tboard@45C GPU 310/310 CPU 2484/822 SOC 1242/945 CV 0/0 VDDRQ 310/159 SYS5V 2009/1881
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.5C PMIC@100C AUX@44C CPU@48C thermal@44.95C Tboard@45C GPU 310/310 CPU 3569/900 SOC 1396/958 CV 0/0 VDDRQ 310/163 SYS5V 2049/1886
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [66%@2265,100%@2265,100%@2265,100%@2265,85%@2265,100%@2265,57%@2265,66%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.25C PMIC@100C AUX@44.5C CPU@48C thermal@44.95C Tboard@45C GPU 310/310 CPU 4343/996 SOC 1551/975 CV 0/0 VDDRQ 310/167 SYS5V 2130/1893
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [40%@2265,80%@2265,50%@2265,100%@2265,50%@2265,66%@2265,50%@2265,50%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.25C PMIC@100C AUX@44.5C CPU@48C thermal@44.95C Tboard@45C GPU 310/310 CPU 4652/1095 SOC 1550/990 CV 0/0 VDDRQ 310/171 SYS5V 2170/1900
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.25C PMIC@100C AUX@44.5C CPU@48.5C thermal@44.95C Tboard@45C GPU 310/310 CPU 5270/1205 SOC 1705/1009 CV 0/0 VDDRQ 310/175 SYS5V 2210/1908
