RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@41.5C thermal@41.1C Tboard@41C GPU 310/310 CPU 621/1274 SOC 932/1274 CV 0/0 VDDRQ 310/310 SYS5V 1929/2042
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 621/1248 SOC 932/1260 CV 0/0 VDDRQ 310/310 SYS5V 1929/2038
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,14%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 777/1230 SOC 932/1248 CV 0/0 VDDRQ 310/310 SYS5V 1929/2033
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 777/1213 SOC 932/1236 CV 0/0 VDDRQ 310/310 SYS5V 1929/2030
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,14%@1190,0%@1190,14%@1190,0%@1190,37%@1190] EMC_FREQ 0% GR3D_FREQ 4% AO@39C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 777/1197 SOC 932/1225 CV 0/0 VDDRQ 310/310 SYS5V 1889/2024
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 621/1178 SOC 932/1215 CV 0/0 VDDRQ 310/310 SYS5V 1889/2020
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 621/1159 SOC 932/1205 CV 0/0 VDDRQ 310/310 SYS5V 1889/2015
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 621/1142 SOC 932/1197 CV 0/0 VDDRQ 310/310 SYS5V 1889/2011
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 621/1125 SOC 932/1188 CV 0/0 VDDRQ 310/310 SYS5V 1848/2006
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [75%@2265,66%@2265,66%@2265,66%@2265,66%@2265,60%@2265,85%@2265,66%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@43C PMIC@100C AUX@40.5C CPU@43C thermal@41.1C Tboard@41C GPU 310/310 CPU 1398/1134 SOC 932/1181 CV 0/0 VDDRQ 310/310 SYS5V 1929/2004
