RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1332] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/520 SOC 2171/2171 CV 0/0 VDDRQ 155/232 SYS5V 2210/2217
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1415] EMC_FREQ 0%@2133 GR3D_FREQ 98%@1338 APE 150 MTS fg 0% bg 6% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/518 SOC 2171/2171 CV 0/0 VDDRQ 310/235 SYS5V 2210/2216
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 98%@1377 APE 150 MTS fg 0% bg 3% AO@32.5C GPU@36C Tdiode@35.75C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4807/4657 CPU 465/516 SOC 2171/2171 CV 0/0 VDDRQ 310/237 SYS5V 2210/2216
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1342] EMC_FREQ 0%@2133 GR3D_FREQ 97%@1377 APE 150 MTS fg 0% bg 3% AO@32.5C GPU@36C Tdiode@35.75C PMIC@100C AUX@32.5C CPU@34.5C thermal@34.15C Tboard@33C GPU 4962/4667 CPU 465/515 SOC 2171/2171 CV 0/0 VDDRQ 310/240 SYS5V 2210/2216
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,12%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1267,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 98%@1377 APE 150 MTS fg 0% bg 2% AO@32.5C GPU@36C Tdiode@35.75C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4962/4676 CPU 465/513 SOC 2171/2171 CV 0/0 VDDRQ 310/242 SYS5V 2210/2216
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,12%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.75C PMIC@100C AUX@32.5C CPU@34.5C thermal@34.15C Tboard@33C GPU 4962/4684 CPU 465/511 SOC 2171/2171 CV 0/0 VDDRQ 310/244 SYS5V 2210/2216
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1200,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.75C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4807/4688 CPU 465/510 SOC 2171/2171 CV 0/0 VDDRQ 155/241 SYS5V 2210/2215
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1333] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.75C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4807/4691 CPU 465/509 SOC 2171/2171 CV 0/0 VDDRQ 310/243 SYS5V 2210/2215
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [12%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.75C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4807/4695 CPU 465/508 SOC 2171/2171 CV 0/0 VDDRQ 155/241 SYS5V 2210/2215
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 2% AO@32.5C GPU@36C Tdiode@35.75C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4807/4698 CPU 465/506 SOC 2171/2171 CV 0/0 VDDRQ 310/242 SYS5V 2210/2215
