RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/505 SOC 2171/2171 CV 0/0 VDDRQ 155/249 SYS5V 2210/2222
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,12%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4652/4652 CPU 465/503 SOC 2171/2171 CV 0/0 VDDRQ 310/251 SYS5V 2210/2221
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1340] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4652/4652 CPU 465/502 SOC 2171/2171 CV 0/0 VDDRQ 155/248 SYS5V 2210/2221
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1344] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4652/4652 CPU 465/500 SOC 2171/2171 CV 0/0 VDDRQ 310/250 SYS5V 2210/2220
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1420] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@35.5C thermal@35.85C Tboard@35C GPU 4652/4652 CPU 465/499 SOC 2171/2171 CV 0/0 VDDRQ 310/252 SYS5V 2210/2220
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,12%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1267,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@35.5C thermal@35.85C Tboard@35C GPU 4652/4652 CPU 465/498 SOC 2171/2171 CV 0/0 VDDRQ 310/254 SYS5V 2210/2220
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 40%@1377 APE 150 MTS fg 0% bg 4% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4807/4657 CPU 465/497 SOC 2171/2171 CV 0/0 VDDRQ 310/256 SYS5V 2210/2219
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,22%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1335] EMC_FREQ 0%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4960/4667 CPU 465/496 SOC 2171/2171 CV 0/0 VDDRQ 310/258 SYS5V 2210/2219
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4962/4676 CPU 465/495 SOC 2171/2171 CV 0/0 VDDRQ 155/255 SYS5V 2210/2219
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4962/4685 CPU 465/494 SOC 2171/2171 CV 0/0 VDDRQ 310/256 SYS5V 2210/2218
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4962/4694 CPU 465/493 SOC 2171/2171 CV 0/0 VDDRQ 155/253 SYS5V 2210/2218
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@35.5C thermal@35.85C Tboard@35C GPU 4807/4697 CPU 465/492 SOC 2171/2171 CV 0/0 VDDRQ 310/255 SYS5V 2210/2218
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,12%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@33.5C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4807/4700 CPU 465/491 SOC 2171/2171 CV 0/0 VDDRQ 155/252 SYS5V 2210/2218
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34C CPU@36C thermal@35.85C Tboard@35C GPU 4807/4703 CPU 465/490 SOC 2171/2171 CV 0/0 VDDRQ 155/249 SYS5V 2210/2217
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1342] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4807/4706 CPU 465/490 SOC 2171/2171 CV 0/0 VDDRQ 155/247 SYS5V 2210/2217
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,12%@1190,0%@1190,0%@1190,0%@1190,0%@1332] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4807/4709 CPU 465/489 SOC 2171/2171 CV 0/0 VDDRQ 155/244 SYS5V 2210/2217
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1199,0%@1343] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4807/4711 CPU 465/488 SOC 2171/2171 CV 0/0 VDDRQ 155/242 SYS5V 2210/2217
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1420] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4807/4713 CPU 465/488 SOC 2171/2171 CV 0/0 VDDRQ 310/244 SYS5V 2210/2217
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4807/4716 CPU 465/487 SOC 2171/2171 CV 0/0 VDDRQ 155/241 SYS5V 2210/2216
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266,0%@1269] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4807/4718 CPU 465/487 SOC 2171/2171 CV 0/0 VDDRQ 310/243 SYS5V 2250/2217
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4807/4720 CPU 465/486 SOC 2171/2171 CV 0/0 VDDRQ 155/241 SYS5V 2250/2218
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,12%@1190,12%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4807/4722 CPU 465/486 SOC 2171/2171 CV 0/0 VDDRQ 155/239 SYS5V 2250/2219
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4652/4720 CPU 465/485 SOC 2171/2171 CV 0/0 VDDRQ 310/241 SYS5V 2250/2219
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4652/4719 CPU 465/485 SOC 2171/2171 CV 0/0 VDDRQ 310/242 SYS5V 2250/2220
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4652/4717 CPU 465/484 SOC 2171/2171 CV 0/0 VDDRQ 155/240 SYS5V 2250/2221
