RAM 1250/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@41.5C BCPU@41C thermal@40.6C Tdiode@41.25C VDD_SYS_GPU 1761/346 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 4176/2739 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/708
RAM 1250/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@42C BCPU@41C thermal@40.6C Tdiode@41.25C VDD_SYS_GPU 1838/380 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 4291/2775 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/709
RAM 1250/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@41C BCPU@41C thermal@40.6C Tdiode@40.75C VDD_SYS_GPU 1761/412 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 4215/2808 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/709
RAM 1250/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C MCPU@41.5C PMIC@100C Tboard@38C GPU@41C BCPU@41.5C thermal@40.6C Tdiode@40.75C VDD_SYS_GPU 1838/444 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 4328/2842 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/709
RAM 1250/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@42C BCPU@41C thermal@40.6C Tdiode@40.75C VDD_SYS_GPU 1991/477 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 4404/2876 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/710
RAM 1250/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@41.5C BCPU@41C thermal@40.6C Tdiode@40.75C VDD_SYS_GPU 2068/511 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 4481/2910 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/711
RAM 1250/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@42C BCPU@41C thermal@41.4C Tdiode@41.5C VDD_SYS_GPU 2068/543 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 4558/2944 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/712
RAM 1250/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C MCPU@41.5C PMIC@100C Tboard@38C GPU@41.5C BCPU@41.5C thermal@41.4C Tdiode@41.5C VDD_SYS_GPU 2145/576 VDD_SYS_SOC 612/612 VDD_4V0_WIFI 0/0 VDD_IN 4596/2978 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/712
RAM 1250/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C MCPU@41.5C PMIC@100C Tboard@38C GPU@41.5C BCPU@41.5C thermal@41.4C Tdiode@41.5C VDD_SYS_GPU 2221/609 VDD_SYS_SOC 612/612 VDD_4V0_WIFI 0/0 VDD_IN 4634/3011 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/713
RAM 1250/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@41.5C MCPU@41.5C PMIC@100C Tboard@38C GPU@42C BCPU@41.5C thermal@41.4C Tdiode@41.5C VDD_SYS_GPU 2221/641 VDD_SYS_SOC 612/612 VDD_4V0_WIFI 0/0 VDD_IN 4711/3044 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/713
