RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31.5C MCPU@31.5C PMIC@100C Tboard@28C GPU@30C BCPU@31.5C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/368 VDD_4V0_WIFI 0/0 VDD_IN 1993/2145 VDD_SYS_CPU 153/239 VDD_SYS_DDR 267/325
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [25%@345,off,off,0%@345,0%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/366 VDD_4V0_WIFI 0/0 VDD_IN 1993/2140 VDD_SYS_CPU 153/236 VDD_SYS_DDR 267/323
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/364 VDD_4V0_WIFI 0/0 VDD_IN 1993/2136 VDD_SYS_CPU 153/234 VDD_SYS_DDR 267/321
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/363 VDD_4V0_WIFI 0/0 VDD_IN 1993/2131 VDD_SYS_CPU 153/231 VDD_SYS_DDR 267/320
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/361 VDD_4V0_WIFI 0/0 VDD_IN 1993/2128 VDD_SYS_CPU 153/229 VDD_SYS_DDR 267/318
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,25%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/360 VDD_4V0_WIFI 0/0 VDD_IN 1993/2124 VDD_SYS_CPU 153/227 VDD_SYS_DDR 267/317
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 5% PLL@31.5C MCPU@31.5C PMIC@100C Tboard@28C GPU@30C BCPU@31.5C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/358 VDD_4V0_WIFI 0/0 VDD_IN 1993/2121 VDD_SYS_CPU 230/227 VDD_SYS_DDR 286/316
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/357 VDD_4V0_WIFI 0/0 VDD_IN 1993/2117 VDD_SYS_CPU 153/225 VDD_SYS_DDR 286/315
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/356 VDD_4V0_WIFI 0/0 VDD_IN 1993/2114 VDD_SYS_CPU 153/223 VDD_SYS_DDR 267/314
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/354 VDD_4V0_WIFI 0/0 VDD_IN 1993/2111 VDD_SYS_CPU 153/222 VDD_SYS_DDR 267/313
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/353 VDD_4V0_WIFI 0/0 VDD_IN 1993/2108 VDD_SYS_CPU 153/220 VDD_SYS_DDR 267/312
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/352 VDD_4V0_WIFI 0/0 VDD_IN 1993/2106 VDD_SYS_CPU 153/218 VDD_SYS_DDR 267/311
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31.5C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/351 VDD_4V0_WIFI 0/0 VDD_IN 1993/2103 VDD_SYS_CPU 153/217 VDD_SYS_DDR 267/310
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31.5C MCPU@31.5C PMIC@100C Tboard@28C GPU@30C BCPU@31.5C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/350 VDD_4V0_WIFI 0/0 VDD_IN 1993/2101 VDD_SYS_CPU 153/215 VDD_SYS_DDR 267/309
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/349 VDD_4V0_WIFI 0/0 VDD_IN 1955/2097 VDD_SYS_CPU 153/214 VDD_SYS_DDR 267/308
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/348 VDD_4V0_WIFI 0/0 VDD_IN 1955/2094 VDD_SYS_CPU 153/213 VDD_SYS_DDR 267/307
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,16%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/347 VDD_4V0_WIFI 0/0 VDD_IN 1993/2092 VDD_SYS_CPU 230/213 VDD_SYS_DDR 267/306
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/346 VDD_4V0_WIFI 0/0 VDD_IN 1993/2090 VDD_SYS_CPU 153/212 VDD_SYS_DDR 267/305
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/346 VDD_4V0_WIFI 0/0 VDD_IN 1993/2088 VDD_SYS_CPU 153/211 VDD_SYS_DDR 267/305
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/345 VDD_4V0_WIFI 0/0 VDD_IN 1993/2086 VDD_SYS_CPU 153/210 VDD_SYS_DDR 267/304
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/344 VDD_4V0_WIFI 0/0 VDD_IN 1993/2085 VDD_SYS_CPU 153/208 VDD_SYS_DDR 267/303
