RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/202 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3060 VDD_SYS_CPU 153/209 VDD_SYS_DDR 821/825
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/200 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3058 VDD_SYS_CPU 153/206 VDD_SYS_DDR 821/825
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/198 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3057 VDD_SYS_CPU 153/204 VDD_SYS_DDR 821/825
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/196 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 2988/3054 VDD_SYS_CPU 153/202 VDD_SYS_DDR 821/825
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/195 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 2988/3052 VDD_SYS_CPU 153/200 VDD_SYS_DDR 821/825
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@29C GPU@31.5C BCPU@32.5C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/193 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 2988/3050 VDD_SYS_CPU 153/199 VDD_SYS_DDR 821/825
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/192 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 2988/3047 VDD_SYS_CPU 153/197 VDD_SYS_DDR 821/824
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/191 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 2988/3045 VDD_SYS_CPU 153/196 VDD_SYS_DDR 821/824
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,16%@345,14%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 4% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/189 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 2988/3044 VDD_SYS_CPU 229/197 VDD_SYS_DDR 821/824
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/188 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 2988/3042 VDD_SYS_CPU 153/195 VDD_SYS_DDR 821/824
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,14%@345,0%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/187 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 2988/3040 VDD_SYS_CPU 153/194 VDD_SYS_DDR 821/824
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/186 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 2988/3039 VDD_SYS_CPU 153/193 VDD_SYS_DDR 821/824
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@652,off,off,20%@652,25%@652,20%@652] EMC_FREQ 0% GR3D_FREQ 7% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/187 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3065/3039 VDD_SYS_CPU 229/194 VDD_SYS_DDR 840/824
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,14%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/188 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3065/3040 VDD_SYS_CPU 229/195 VDD_SYS_DDR 840/825
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/189 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3065/3041 VDD_SYS_CPU 229/196 VDD_SYS_DDR 840/825
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/191 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3065/3041 VDD_SYS_CPU 229/197 VDD_SYS_DDR 840/826
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.5C VDD_SYS_GPU 229/191 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3041 VDD_SYS_CPU 229/197 VDD_SYS_DDR 840/826
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.5C VDD_SYS_GPU 153/191 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3041 VDD_SYS_CPU 229/198 VDD_SYS_DDR 840/826
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.5C VDD_SYS_GPU 153/190 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3040 VDD_SYS_CPU 229/199 VDD_SYS_DDR 840/827
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@29C GPU@31.5C BCPU@32.5C thermal@32.4C Tdiode@30.5C VDD_SYS_GPU 229/191 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3040 VDD_SYS_CPU 229/200 VDD_SYS_DDR 821/826
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/190 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3040 VDD_SYS_CPU 229/200 VDD_SYS_DDR 821/826
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@29C GPU@31.5C BCPU@32.5C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/189 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3039 VDD_SYS_CPU 153/199 VDD_SYS_DDR 821/826
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/188 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3039 VDD_SYS_CPU 153/198 VDD_SYS_DDR 821/826
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@29C GPU@31.5C BCPU@32.5C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/187 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3039 VDD_SYS_CPU 153/197 VDD_SYS_DDR 821/826
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,14%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@29C GPU@31.5C BCPU@32.5C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/186 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3038 VDD_SYS_CPU 153/196 VDD_SYS_DDR 821/826
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.5C VDD_SYS_GPU 153/186 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 2988/3037 VDD_SYS_CPU 153/195 VDD_SYS_DDR 821/826
