Frequency: Avg: 3972.3, Core 0: 3993.5, Core 1: 3965.4, Core 2: 3937.0, Core 3: 3993.2, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 10.7, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 24.8, 
Frequency: Avg: 3965.5, Core 0: 3979.4, Core 1: 3911.9, Core 2: 3993.5, Core 3: 3977.2, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 15.9, core,0: 11.0, uncore,0: 0, dram,0: 0.3, psys,0: 16.5, 
Frequency: Avg: 3952.9, Core 0: 3996.7, Core 1: 3923.5, Core 2: 3939.2, Core 3: 3952.3, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.3, core,0: 10.5, uncore,0: 0, dram,0: 0.5, psys,0: 27.0, 
Frequency: Avg: 3981.6, Core 0: 3997.1, Core 1: 3984.0, Core 2: 3968.8, Core 3: 3976.4, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.5, core,0: 7.5, uncore,0: 0, dram,0: 0.4, psys,0: 21.8, 
Frequency: Avg: 3975.8, Core 0: 3995.2, Core 1: 3983.6, Core 2: 3979.8, Core 3: 3944.6, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 31.3, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.8, core,0: 11.4, uncore,0: 0, dram,0: 0.5, psys,0: 28.1, 
Frequency: Avg: 3994.6, Core 0: 3995.9, Core 1: 3987.0, Core 2: 3998.4, Core 3: 3997.2, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 18.2, core,0: 10.8, uncore,0: 0, dram,0: 0.5, psys,0: 25.4, 
Frequency: Avg: 3953.8, Core 0: 3938.1, Core 1: 3961.0, Core 2: 3998.1, Core 3: 3918.0, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 25.0, Core 0: 20.0, Core 1: 0.0, Core 2: 80.0, Core 3: 0.0, Power: package-0,0: 16.8, core,0: 11.3, uncore,0: 0, dram,0: 0.3, psys,0: 18.6, 
Frequency: Avg: 3985.1, Core 0: 3986.5, Core 1: 3996.7, Core 2: 3998.5, Core 3: 3958.7, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 17.0, core,0: 10.8, uncore,0: 0, dram,0: 0.3, psys,0: 16.8, 
Frequency: Avg: 3965.9, Core 0: 3993.4, Core 1: 3970.9, Core 2: 3972.2, Core 3: 3927.2, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 28.6, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.8, core,0: 11.4, uncore,0: 0, dram,0: 0.5, psys,0: 28.7, 
Frequency: Avg: 3989.8, Core 0: 3997.1, Core 1: 3967.0, Core 2: 3996.2, Core 3: 3998.7, Temp: PackageId0,0: 87.0, Core0,0: 70.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 70.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 19.2, core,0: 12.0, uncore,0: 0, dram,0: 0.3, psys,0: 18.4, 
Frequency: Avg: 3976.3, Core 0: 3995.7, Core 1: 3946.7, Core 2: 3974.3, Core 3: 3988.7, Temp: PackageId0,0: 87.0, Core0,0: 70.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 70.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.3, core,0: 11.6, uncore,0: 0, dram,0: 0.5, psys,0: 28.3, 
Frequency: Avg: 3978.2, Core 0: 3992.9, Core 1: 3977.9, Core 2: 3977.1, Core 3: 3965.0, Temp: PackageId0,0: 87.0, Core0,0: 70.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 70.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 28.6, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 17.9, core,0: 11.8, uncore,0: 0, dram,0: 0.4, psys,0: 19.0, 
Frequency: Avg: 3969.9, Core 0: 3996.4, Core 1: 3977.6, Core 2: 3957.9, Core 3: 3947.8, Temp: PackageId0,0: 87.0, Core0,0: 70.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 70.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.1, core,0: 11.1, uncore,0: 0, dram,0: 0.3, psys,0: 29.4, 
Frequency: Avg: 3859.5, Core 0: 3858.3, Core 1: 3859.2, Core 2: 3859.8, Core 3: 3860.5, Temp: PackageId0,0: 87.0, Core0,0: 70.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 70.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 93.1, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 85.7, Power: package-0,0: 27.8, core,0: 22.9, uncore,0: 0, dram,0: 0.4, psys,0: 11.5, 
Frequency: Avg: 3900.0, Core 0: 3900.0, Core 1: 3900.0, Core 2: 3900.0, Core 3: 3900.0, Temp: PackageId0,0: 88.0, Core0,0: 88.0, Core1,0: 84.0, PackageId0,1: 88.0, Core0,1: 88.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 75.0, Core 0: 100.0, Core 1: 60.0, Core 2: 40.0, Core 3: 100.0, Power: package-0,0: 24.2, core,0: 22.6, uncore,0: 0, dram,0: 0.4, psys,0: 32.6, 
Frequency: Avg: 3882.6, Core 0: 3882.6, Core 1: 3882.6, Core 2: 3882.6, Core 3: 3882.6, Temp: PackageId0,0: 88.0, Core0,0: 88.0, Core1,0: 84.0, PackageId0,1: 88.0, Core0,1: 88.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 100.0, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Power: package-0,0: 24.5, core,0: 22.2, uncore,0: 0, dram,0: 0.4, psys,0: 32.7, 
Frequency: Avg: 3883.1, Core 0: 3882.3, Core 1: 3882.9, Core 2: 3883.4, Core 3: 3884.0, Temp: PackageId0,0: 88.0, Core0,0: 88.0, Core1,0: 84.0, PackageId0,1: 88.0, Core0,1: 88.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 100.0, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Power: package-0,0: 25.1, core,0: 23.4, uncore,0: 0, dram,0: 0.4, psys,0: 32.9, 
Frequency: Avg: 3877.0, Core 0: 3875.9, Core 1: 3877.2, Core 2: 3877.3, Core 3: 3877.3, Temp: PackageId0,0: 88.0, Core0,0: 88.0, Core1,0: 84.0, PackageId0,1: 88.0, Core0,1: 88.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 100.0, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Power: package-0,0: 27.4, core,0: 22.4, uncore,0: 0, dram,0: 0.5, psys,0: 37.1, 
Frequency: Avg: 3894.9, Core 0: 3894.5, Core 1: 3894.4, Core 2: 3895.3, Core 3: 3895.3, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 89.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 89.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 50.0, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 75.0, Power: package-0,0: 20.1, core,0: 19.8, uncore,0: 0, dram,0: 0.3, psys,0: 28.3, 
Frequency: Avg: 3892.4, Core 0: 3892.4, Core 1: 3892.4, Core 2: 3892.5, Core 3: 3892.4, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 89.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 89.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 93.1, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 85.7, Power: package-0,0: 24.9, core,0: 22.4, uncore,0: 0, dram,0: 0.5, psys,0: 38.4, 
Frequency: Avg: 3872.9, Core 0: 3873.0, Core 1: 3873.0, Core 2: 3872.8, Core 3: 3872.8, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 89.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 89.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 100.0, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Power: package-0,0: 24.3, core,0: 23.0, uncore,0: 0, dram,0: 0.4, psys,0: 32.8, 
Frequency: Avg: 3882.5, Core 0: 3881.5, Core 1: 3882.2, Core 2: 3882.8, Core 3: 3883.4, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 90.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 90.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 100.0, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Power: package-0,0: 24.1, core,0: 22.8, uncore,0: 0, dram,0: 0.4, psys,0: 32.6, 
Frequency: Avg: 3851.8, Core 0: 3848.3, Core 1: 3856.0, Core 2: 3847.2, Core 3: 3855.6, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 90.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 90.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 85.0, Core 0: 66.7, Core 1: 100.0, Core 2: 80.0, Core 3: 100.0, Power: package-0,0: 25.1, core,0: 22.0, uncore,0: 0, dram,0: 0.4, psys,0: 34.2, 
