Frequency: Avg: 3966.8, Core 0: 3980.4, Core 1: 3996.2, Core 2: 3912.1, Core 3: 3978.5, Temp: PackageId0,0: 85.0, Core0,0: 69.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 69.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 17.8, core,0: 11.2, uncore,0: 0, dram,0: 0.5, psys,0: 26.6, 
Frequency: Avg: 3981.8, Core 0: 3975.6, Core 1: 3977.6, Core 2: 3997.8, Core 3: 3976.1, Temp: PackageId0,0: 85.0, Core0,0: 69.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 69.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 12.1, core,0: 10.7, uncore,0: 0, dram,0: 0.5, psys,0: 25.0, 
Frequency: Avg: 3973.2, Core 0: 3919.8, Core 1: 3985.7, Core 2: 3997.6, Core 3: 3989.8, Temp: PackageId0,0: 85.0, Core0,0: 69.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 69.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 11.1, core,0: 10.1, uncore,0: 0, dram,0: 0.5, psys,0: 25.0, 
Frequency: Avg: 3987.7, Core 0: 3998.3, Core 1: 3972.5, Core 2: 3987.8, Core 3: 3992.1, Temp: PackageId0,0: 85.0, Core0,0: 69.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 69.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.5, core,0: 10.6, uncore,0: 0, dram,0: 0.5, psys,0: 28.8, 
Frequency: Avg: 3988.1, Core 0: 3998.6, Core 1: 3998.2, Core 2: 3985.5, Core 3: 3970.2, Temp: PackageId0,0: 85.0, Core0,0: 69.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 69.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 10.9, core,0: 10.8, uncore,0: 0, dram,0: 0.3, psys,0: 25.3, 
Frequency: Avg: 3959.5, Core 0: 3996.2, Core 1: 3987.1, Core 2: 3945.8, Core 3: 3908.8, Temp: PackageId0,0: 85.0, Core0,0: 69.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 69.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.4, core,0: 11.3, uncore,0: 0, dram,0: 0.4, psys,0: 19.7, 
Frequency: Avg: 3966.8, Core 0: 3993.4, Core 1: 3969.1, Core 2: 3913.8, Core 3: 3990.9, Temp: PackageId0,0: 85.0, Core0,0: 69.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 69.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 33.3, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 17.8, core,0: 11.1, uncore,0: 0, dram,0: 0.4, psys,0: 16.9, 
Frequency: Avg: 3972.2, Core 0: 3990.2, Core 1: 3997.8, Core 2: 3959.9, Core 3: 3941.0, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.4, core,0: 11.3, uncore,0: 0, dram,0: 0.3, psys,0: 18.8, 
Frequency: Avg: 3989.1, Core 0: 3987.4, Core 1: 3977.4, Core 2: 3998.3, Core 3: 3993.2, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 23.5, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 10.3, core,0: 5.9, uncore,0: 0, dram,0: 0.4, psys,0: 19.9, 
Frequency: Avg: 3981.7, Core 0: 3938.7, Core 1: 3995.2, Core 2: 3997.7, Core 3: 3995.4, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 15.9, core,0: 10.7, uncore,0: 0, dram,0: 0.5, psys,0: 24.3, 
