RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@43.5C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 4030/3294 CPU 620/645 SOC 2325/2325 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@43.5C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 4030/3323 CPU 620/644 SOC 2325/2325 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,16%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 4030/3350 CPU 620/643 SOC 2325/2325 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 4030/3375 CPU 620/643 SOC 2325/2325 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,14%@1190,16%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 4030/3399 CPU 620/642 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@40.5C GPU@44C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 4030/3421 CPU 620/641 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 4030/3441 CPU 620/640 SOC 2325/2325 CV 0/0 VDDRQ 310/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@40.5C GPU@44C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 4030/3460 CPU 620/640 SOC 2325/2325 CV 0/0 VDDRQ 310/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.55C Tboard@42C GPU 4030/3478 CPU 620/639 SOC 2325/2325 CV 0/0 VDDRQ 310/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.55C Tboard@42C GPU 4030/3494 CPU 620/638 SOC 2325/2325 CV 0/0 VDDRQ 310/309 SYS5V 2290/2290
