RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,16%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 94% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40.25C VDD_SYS_GPU 1072/322 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3487/2712 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/711
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 93% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40.25C VDD_SYS_GPU 1072/338 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3525/2729 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/712
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,16%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 93% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@41C BCPU@41C thermal@40.8C Tdiode@40.25C VDD_SYS_GPU 1072/353 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3563/2746 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/712
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,16%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 94% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40.25C VDD_SYS_GPU 1149/369 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3563/2762 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/713
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 94% PLL@41.5C MCPU@41.5C PMIC@100C Tboard@38C GPU@40.5C BCPU@41.5C thermal@40.8C Tdiode@40.25C VDD_SYS_GPU 1149/384 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3602/2779 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/713
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 95% PLL@41.5C MCPU@41.5C PMIC@100C Tboard@38C GPU@40.5C BCPU@41.5C thermal@40.8C Tdiode@40.25C VDD_SYS_GPU 1149/399 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3602/2794 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/714
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 94% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40.25C VDD_SYS_GPU 1149/413 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3602/2810 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/715
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 93% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40.25C VDD_SYS_GPU 1149/426 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3602/2824 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/715
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,16%@345,16%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 88% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40.25C VDD_SYS_GPU 1149/439 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3602/2838 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/716
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41.5C MCPU@41.5C PMIC@100C Tboard@38C GPU@40.5C BCPU@41.5C thermal@40.8C Tdiode@40C VDD_SYS_GPU 1072/451 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3487/2850 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/716
