RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 931/931 CPU 465/517 SOC 2174/2174 CV 0/0 VDDRQ 310/251 SYS5V 2210/2228
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 931/931 CPU 466/515 SOC 2174/2174 CV 0/0 VDDRQ 155/248 SYS5V 2210/2227
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 931/931 CPU 466/513 SOC 2174/2174 CV 0/0 VDDRQ 310/250 SYS5V 2210/2226
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 931/931 CPU 465/511 SOC 2174/2174 CV 0/0 VDDRQ 155/246 SYS5V 2210/2226
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 931/931 CPU 465/509 SOC 2174/2174 CV 0/0 VDDRQ 155/243 SYS5V 2250/2227
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 931/931 CPU 466/508 SOC 2174/2174 CV 0/0 VDDRQ 155/240 SYS5V 2250/2227
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 931/931 CPU 466/506 SOC 2174/2174 CV 0/0 VDDRQ 155/237 SYS5V 2250/2228
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 931/931 CPU 465/505 SOC 2174/2174 CV 0/0 VDDRQ 310/240 SYS5V 2210/2228
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 931/931 CPU 465/504 SOC 2174/2174 CV 0/0 VDDRQ 155/237 SYS5V 2250/2228
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 931/931 CPU 465/503 SOC 2174/2174 CV 0/0 VDDRQ 310/239 SYS5V 2210/2228
