RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/614 SOC 2174/2174 CV 0/0 VDDRQ 155/264 SYS5V 2210/2233
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/608 SOC 2174/2174 CV 0/0 VDDRQ 155/260 SYS5V 2210/2232
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/602 SOC 2174/2174 CV 0/0 VDDRQ 310/262 SYS5V 2210/2231
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/597 SOC 2174/2174 CV 0/0 VDDRQ 310/264 SYS5V 2210/2230
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/592 SOC 2174/2174 CV 0/0 VDDRQ 310/265 SYS5V 2210/2230
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/588 SOC 2174/2174 CV 0/0 VDDRQ 155/261 SYS5V 2210/2229
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/584 SOC 2174/2174 CV 0/0 VDDRQ 155/258 SYS5V 2210/2228
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/580 SOC 2174/2174 CV 0/0 VDDRQ 155/255 SYS5V 2210/2228
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/576 SOC 2174/2174 CV 0/0 VDDRQ 155/251 SYS5V 2210/2227
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41.5C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/573 SOC 2174/2174 CV 0/0 VDDRQ 155/248 SYS5V 2210/2226
