RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@42.5C thermal@42.35C Tboard@42C GPU 5425/1877 CPU 465/591 SOC 2170/2179 CV 0/0 VDDRQ 310/258 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@42.5C thermal@42.35C Tboard@42C GPU 5580/1952 CPU 465/588 SOC 2170/2179 CV 0/0 VDDRQ 310/259 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44.5C Tdiode@43.75C PMIC@100C AUX@41C CPU@42.5C thermal@42.35C Tboard@42C GPU 5580/2025 CPU 465/586 SOC 2170/2179 CV 0/0 VDDRQ 310/260 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@43.75C PMIC@100C AUX@41C CPU@43C thermal@42.35C Tboard@42C GPU 5735/2098 CPU 465/584 SOC 2170/2179 CV 0/0 VDDRQ 155/258 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@43.75C PMIC@100C AUX@41C CPU@42.5C thermal@42.35C Tboard@42C GPU 5735/2168 CPU 465/581 SOC 2170/2178 CV 0/0 VDDRQ 309/259 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@43.75C PMIC@100C AUX@41C CPU@43C thermal@42.35C Tboard@42C GPU 5735/2235 CPU 465/579 SOC 2170/2178 CV 0/0 VDDRQ 309/260 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@43.75C PMIC@100C AUX@41C CPU@42.5C thermal@42.35C Tboard@42C GPU 5735/2300 CPU 465/577 SOC 2170/2178 CV 0/0 VDDRQ 309/261 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@43.75C PMIC@100C AUX@41C CPU@42.5C thermal@42.35C Tboard@42C GPU 5890/2365 CPU 465/575 SOC 2170/2178 CV 0/0 VDDRQ 309/262 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44.5C Tdiode@43.75C PMIC@100C AUX@41C CPU@43C thermal@42.35C Tboard@42C GPU 5887/2428 CPU 465/573 SOC 2170/2178 CV 0/0 VDDRQ 309/262 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44.5C Tdiode@43.75C PMIC@100C AUX@41C CPU@43C thermal@42.35C Tboard@42C GPU 5890/2489 CPU 465/571 SOC 2170/2178 CV 0/0 VDDRQ 309/263 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@43.75C PMIC@100C AUX@41C CPU@42.5C thermal@42.35C Tboard@42C GPU 5890/2547 CPU 465/569 SOC 2170/2177 CV 0/0 VDDRQ 154/261 SYS5V 2250/2249
