RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/707 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1856
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1420,0%@1420,0%@1420,0%@1420,16%@1420,0%@1420,16%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 15% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@41C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/710 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1857
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/712 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1858
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1881,0%@1881,0%@1881,0%@1881,0%@1881,0%@1881,16%@1881,0%@1881] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/715 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1859
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/711 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1860
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/708 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1861
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/706 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1862
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1267,12%@1267,0%@1267,0%@1267,0%@1267,0%@1267,20%@1267,0%@1267] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@39.5C Tdiode@41.5C PMIC@100C AUX@39C CPU@41C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/703 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1863
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/705 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1864
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@2265,16%@2265,0%@2265,16%@2265,0%@2265,0%@2265,16%@2265,0%@2265] EMC_FREQ 0% GR3D_FREQ 97% AO@38C GPU@40.5C Tdiode@41.5C PMIC@100C AUX@39C CPU@41C thermal@39.75C Tboard@40C GPU 466/314 CPU 776/707 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1864
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@38C GPU@40.5C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 466/318 CPU 776/709 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1865
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1574,14%@1574,0%@1574,0%@1574,0%@1574,0%@1574,16%@1574,0%@1574] EMC_FREQ 0% GR3D_FREQ 98% AO@38C GPU@40.5C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 466/323 CPU 776/711 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1866
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 466/326 CPU 776/713 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1866
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,25%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 51% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 466/330 CPU 621/710 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1866
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 466/334 CPU 621/708 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1865
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [20%@1804,0%@1804,0%@1804,0%@1804,14%@1804,0%@1804,0%@1804,0%@1804] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 466/337 CPU 621/706 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1865
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1574,0%@1574,0%@1574,0%@1574,0%@1574,0%@1574,28%@1574,0%@1574] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 466/340 CPU 776/707 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1866
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [37%@1190,16%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 14% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 466/343 CPU 776/709 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1865
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1651,0%@1651,0%@1651,0%@1651,0%@1651,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 466/346 CPU 776/711 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1865
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 466/349 CPU 621/709 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1864
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1574,0%@1574,0%@1574,0%@1574,0%@1574,0%@1574,16%@1574,0%@1574] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 466/351 CPU 621/707 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1864
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.75C Tboard@40C GPU 466/354 CPU 621/705 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1864
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/353 CPU 621/703 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1863
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1420,0%@1420,0%@1420,0%@1420,0%@1420,12%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/352 CPU 621/701 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1863
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/351 CPU 621/700 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1863
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,14%@1190,14%@1190,20%@1190,0%@1190,16%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 11% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/350 CPU 776/701 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1862
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/349 CPU 776/703 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1862
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/349 CPU 621/701 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1862
